state_id,start_x,start_y,goal_x,goal_y,robot_x,robot_y,delta_x,delta_y,euclidean_dist,angle_to_goal,obs_dist_up,obs_dist_down,obs_dist_left,obs_dist_right,selected_action,joint_angle_1,joint_angle_2,path_length_so_far,reward,converged_flag,episode_id,time_step,obs_grid_flat_0,obs_grid_flat_1,obs_grid_flat_2,obs_grid_flat_3,obs_grid_flat_4,obs_grid_flat_5,obs_grid_flat_6,obs_grid_flat_7,obs_grid_flat_8,obs_grid_flat_9,obs_grid_flat_10,obs_grid_flat_11,obs_grid_flat_12,obs_grid_flat_13,obs_grid_flat_14,obs_grid_flat_15,obs_grid_flat_16,obs_grid_flat_17,obs_grid_flat_18,obs_grid_flat_19,obs_grid_flat_20,obs_grid_flat_21,obs_grid_flat_22,obs_grid_flat_23,obs_grid_flat_24
8889,1,1,3,1,4,0,-1,1,1.41,135.0,0,2,1,0,1,50.66,17.71,8.95,0.91,1,14,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
9444,1,1,4,4,1,0,3,4,5.0,53.13,0,3,0,2,1,152.78,135.09,2.99,0.98,1,15,37,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11544,2,2,2,1,0,3,2,-2,2.83,-45.0,0,1,0,4,3,142.78,37.62,7.95,0.99,1,3,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3693,0,0,2,0,3,0,-1,0,1.0,180.0,0,2,3,1,2,165.02,10.34,8.84,0.94,1,34,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
5556,4,4,2,0,1,4,1,-4,4.12,-75.96,0,0,1,1,3,159.69,131.93,7.96,0.92,1,44,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
13823,3,0,4,3,1,2,3,1,3.16,18.43,2,1,1,2,1,89.6,52.91,3.52,0.96,1,22,33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2817,2,2,1,3,3,2,-2,1,2.24,153.43,0,2,1,1,1,164.34,85.54,5.85,0.97,1,12,19,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
165,1,3,3,2,2,0,1,2,2.24,63.43,0,0,2,0,2,66.42,95.29,3.94,0.94,1,10,50,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
10683,1,4,4,3,4,0,0,3,3.0,90.0,0,0,3,0,2,176.1,123.92,1.68,0.94,1,5,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12424,0,4,1,2,3,3,-2,-1,2.24,-153.43,0,1,3,1,2,56.49,179.09,7.24,0.92,1,25,42,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
42,3,0,3,4,3,4,0,0,0.0,0.0,4,0,1,1,0,164.18,100.37,7.15,0.91,1,42,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
9511,3,0,0,0,4,4,-4,-4,5.66,-135.0,4,0,4,0,0,79.05,71.77,3.0,0.94,1,39,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11546,1,4,2,3,3,1,-1,2,2.24,116.57,1,2,0,0,1,21.91,106.62,6.67,0.98,1,12,22,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
6936,2,0,2,4,1,1,1,3,3.16,71.57,1,3,1,3,1,42.54,142.83,8.06,0.9,1,29,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
9676,1,1,3,4,1,2,2,2,2.83,45.0,2,0,1,3,3,143.26,7.93,8.33,0.96,1,12,28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
3962,1,2,2,2,0,1,2,1,2.24,26.57,0,0,0,4,3,156.94,3.71,7.38,0.94,1,6,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
4634,3,2,1,2,0,2,1,0,1.0,0.0,2,2,0,4,3,149.6,94.41,7.38,0.99,1,27,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
3255,2,1,0,2,1,0,-1,2,2.24,116.57,0,4,1,0,1,6.9,54.49,1.84,0.95,1,50,50,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
7009,1,3,1,3,2,0,-1,3,3.16,108.43,0,0,2,2,2,92.31,44.39,4.1,0.93,1,42,46,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
13762,1,2,0,4,4,3,-4,1,4.12,165.96,3,1,4,0,1,111.41,28.27,5.39,0.95,1,46,26,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6875,0,0,1,2,2,0,-1,2,2.24,116.57,0,0,2,2,2,18.47,32.67,4.53,0.98,1,19,21,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4453,0,1,0,2,2,2,-2,0,2.0,180.0,2,0,2,2,2,157.52,26.85,8.09,0.96,1,38,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
11179,2,0,2,0,0,0,2,0,2.0,0.0,0,3,0,4,3,79.76,63.16,9.67,0.99,1,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
573,2,3,3,2,1,1,2,1,2.24,26.57,0,0,0,3,3,100.82,81.97,4.85,0.99,1,20,49,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2394,0,4,3,2,1,0,2,2,2.83,45.0,0,3,1,1,1,90.3,22.76,2.2,0.97,1,8,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
7224,4,2,3,2,2,2,1,0,1.0,0.0,0,2,2,2,3,156.86,99.6,7.91,1.0,1,46,30,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1987,3,0,3,2,0,3,3,-1,3.16,-18.43,3,1,0,4,0,23.4,56.14,5.56,0.99,1,10,47,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7177,0,3,1,3,3,0,-2,3,3.61,123.69,0,0,0,1,3,107.66,133.93,6.81,0.92,1,15,24,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4000,3,1,0,3,4,3,-4,0,4.0,180.0,3,1,2,0,2,26.64,179.46,9.81,0.99,1,2,26,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
986,2,0,2,1,4,1,-2,0,2.0,180.0,0,2,4,0,2,55.99,19.78,1.85,0.94,1,34,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12299,4,1,4,0,1,4,3,-4,5.0,-53.13,0,0,1,3,3,50.44,157.23,6.59,0.96,1,46,48,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
856,3,2,1,4,4,4,-3,0,3.0,180.0,0,0,4,0,2,133.06,88.39,6.99,0.99,1,22,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
8382,2,0,0,2,4,1,-4,1,4.12,165.96,1,0,1,0,2,28.24,104.07,8.83,0.92,1,32,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3118,1,3,2,1,2,1,0,0,0.0,0.0,0,3,1,2,1,47.32,40.84,7.34,0.93,1,50,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4440,0,0,2,1,3,1,-1,0,1.0,180.0,1,3,3,1,2,157.49,45.47,6.94,0.96,1,29,7,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0
12984,1,4,1,3,2,0,-1,3,3.16,108.43,0,3,1,2,1,18.25,123.36,8.39,0.91,1,42,15,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
7860,2,2,3,2,4,3,-1,-1,1.41,-135.0,3,1,4,0,0,157.38,131.23,3.17,0.93,1,5,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6616,1,3,1,1,2,4,-1,-3,3.16,-108.43,1,0,2,2,0,120.54,101.2,8.57,0.96,1,42,19,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2826,2,3,1,1,3,1,-2,0,2.0,180.0,1,3,3,1,2,72.39,38.22,2.8,0.94,1,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
9723,4,4,4,3,3,1,1,2,2.24,63.43,0,3,2,1,1,5.26,100.56,7.36,0.9,1,21,47,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
11863,3,4,0,3,2,2,-2,1,2.24,153.43,2,2,2,2,1,17.99,81.31,8.08,1.0,1,44,29,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7097,4,3,2,3,4,3,-2,0,2.0,180.0,3,1,4,0,2,47.91,20.92,2.75,0.94,1,36,24,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
